Date,         SSRN
1959-11-01,   20.000
1959-12-01,   -5.000
1960-01-01,   -5.000
1960-02-01,   -8.000
1960-03-01,    5.000
1960-04-01,   18.000
1960-05-01,   42.000
1960-06-01,   84.000
1960-07-01,  362.000
1960-08-01,   -8.000
1960-09-01,  277.000
1960-10-01,  -32.000
1960-11-01,   16.000
1960-12-01,    8.000
1961-01-01,   -1.000
1961-02-01,   -7.000
1961-03-01,   -8.000
1961-04-01,  -17.000
1961-05-01,  -46.000
1961-06-01,  143.000
1961-07-01,  447.000
1961-08-01,  298.000
1961-09-01,  177.000
1961-10-01, -128.000
1961-11-01,    6.000
1961-12-01,   -4.000
1962-01-01,   -5.000
1962-02-01,   -7.000
1962-03-01,  -10.000
1962-04-01,   58.000
1962-05-01,   24.000
1962-06-01,  115.000
1962-07-01,  130.000
1962-08-01,  496.000
1962-09-01,  128.000
1962-10-01,  125.000
1962-11-01,   93.000
1962-12-01,   -4.000
1963-01-01,   -2.000
1963-02-01,   11.000
1963-03-01,   -7.000
1963-04-01,   57.000
1963-05-01,   14.000
1963-06-01,    4.000
1963-07-01,   48.000
1963-08-01,  254.000
1963-09-01,   85.000
1963-10-01,  385.000
1963-11-01,   -9.000
1963-12-01,   -5.000
1964-01-01,   -4.000
1964-02-01,   -8.000
1964-03-01,    6.000
1964-04-01,    1.000
1964-05-01,   92.000
1964-06-01,  206.000
1964-07-01,  311.000
1964-08-01,  542.000
1964-09-01,  269.000
1964-10-01,  -91.000
1964-11-01,   -7.000
1964-12-01,   54.000
1965-01-01,   21.000
1965-02-01,    6.000
1965-03-01,  -19.000
1965-04-01,  -47.000
1965-05-01,  -25.000
1965-06-01,  242.000
1965-07-01,  -10.000
1965-08-01,  475.000
1965-09-01,  396.000
1965-10-01,   26.000
1965-11-01,   11.000
1965-12-01,   -5.000
1966-01-01,   -6.000
1966-02-01,   -8.000
1966-03-01,    8.000
1966-04-01,   29.000
1966-05-01,   33.000
1966-06-01,  157.000
1966-07-01, -255.000
1966-08-01,   15.000
1966-09-01,  538.000
1966-10-01,  400.000
1966-11-01,   -4.000
1966-12-01,   -1.000
1967-01-01,   -5.000
1967-02-01,    1.000
1967-03-01,   22.000
1967-04-01,   17.000
1967-05-01,  -45.000
1967-06-01,   32.000
1967-07-01,  138.000
1967-08-01,  430.000
1967-09-01,  448.000
1967-10-01,  118.000
1967-11-01,   16.000
1967-12-01,   -2.000
1968-01-01,   -5.000
1968-02-01,   57.000
1968-03-01,   26.000
1968-04-01,  149.000
1968-05-01,   72.000
1968-06-01,   63.000
1968-07-01,   17.000
1968-08-01, -331.000
1968-09-01,  -27.000
1968-10-01,   -4.000
1968-11-01,   15.000
1968-12-01,    8.000
1969-01-01,   -3.000
1969-02-01,   -6.000
1969-03-01,   15.000
1969-04-01,   -3.000
1969-05-01,  -26.000
1969-06-01,    7.000
1969-07-01,  309.000
1969-08-01,  235.000
1969-09-01,  166.000
1969-10-01,  382.000
1969-11-01,   18.000
1969-12-01,   -2.000
1970-01-01,   -4.000
1970-02-01,   -8.000
1970-03-01,   -9.000
1970-04-01,  -35.000
1970-05-01,   56.000
1970-06-01, -195.000
1970-07-01,  143.000
1970-08-01,  141.000
1970-09-01,   68.000
1970-10-01, -149.000
1970-11-01,    1.000
1970-12-01,   -4.000
1971-01-01,   -5.000
1971-02-01,    2.000
1971-03-01,   20.000
1971-04-01,    9.000
1971-05-01,  -56.000
1971-06-01, -127.000
1971-07-01,  -61.000
1971-08-01,  276.000
1971-09-01,   -6.000
1971-10-01, -153.000
1971-11-01,   -8.000
1971-12-01,   14.000
1972-01-01,    1.000
1972-02-01,   -2.000
1972-03-01,    4.000
1972-04-01,   32.000
1972-05-01,  102.000
1972-06-01,    7.000
1972-07-01, -319.000
1972-08-01, -297.000
1972-09-01, -293.000
1972-10-01,   18.000
1972-11-01,    4.000
1972-12-01,    4.000
1973-01-01,   -5.000
1973-02-01,   -5.000
1973-03-01,   -9.000
1973-04-01,  -12.000
1973-05-01,  -14.000
1973-06-01,  -81.000
1973-07-01,  -76.000
1973-08-01, -143.000
1973-09-01, -243.000
1973-10-01, -139.000
1973-11-01,  -11.000
1973-12-01,    0.000
1974-01-01,   -5.000
1974-02-01,   -7.000
1974-03-01,    8.000
1974-04-01,  -27.000
1974-05-01,  -62.000
1974-06-01, -117.000
1974-07-01,  337.000
1974-08-01,  277.000
1974-09-01,   81.000
1974-10-01,  -53.000
1974-11-01,    2.000
1974-12-01,   -4.000
1975-01-01,   -5.000
1975-02-01,   -6.000
1975-03-01,    5.000
1975-04-01,    0.000
1975-05-01,   55.000
1975-06-01,  -93.000
1975-07-01,  514.000
1975-08-01,   28.000
1975-09-01,  236.000
1975-10-01,  -57.000
1975-11-01,    3.000
1975-12-01,    0.000
1976-01-01,   12.000
1976-02-01,    5.000
1976-03-01,   -7.000
1976-04-01,    9.000
1976-05-01,   83.000
1976-06-01,   30.000
1976-07-01, -106.000
1976-08-01, -134.000
1976-09-01,   50.000
1976-10-01,  425.000
1976-11-01,   44.000
1976-12-01,   12.000
1977-01-01,    3.000
1977-02-01,   -8.000
1977-03-01,   -9.000
1977-04-01,  -54.000
1977-05-01,  -17.000
1977-06-01,  -93.000
1977-07-01,  -96.000
1977-08-01, -202.000
1977-09-01,   59.000
1977-10-01,  -88.000
1977-11-01,  -24.000
1977-12-01,   -2.000
1978-01-01,   -3.000
1978-02-01,   -3.000
1978-03-01,   31.000
1978-04-01,  168.000
1978-05-01,   60.000
1978-06-01,   67.000
1978-07-01,  248.000
1978-08-01, -108.000
1978-09-01,  106.000
1978-10-01,  105.000
1978-11-01,   17.000
1978-12-01,    8.000
1979-01-01,   16.000
1979-02-01,   -8.000
1979-03-01,    2.000
1979-04-01,  -30.000
1979-05-01,  100.000
1979-06-01,  234.000
1979-07-01,    0.000
1979-08-01, -190.000
1979-09-01, -102.000
1979-10-01,   28.000
1979-11-01,   31.000
1979-12-01,    2.000
1980-01-01,    1.000
1980-02-01,    9.000
1980-03-01,  -21.000
1980-04-01,  -23.000
1980-05-01,   19.000
1980-06-01,  -19.000
1980-07-01,   40.000
1980-08-01,   79.000
1980-09-01, -132.000
1980-10-01,  -91.000
