date;Country;Moughataa/Department;Commune/Municipality;arvi;arvi_category;evi;evi_category;ndvi;ndvi_category;sipi;sipi_category;spi_1;spi_1_category;spi_3;spi_3_category;spi_6;spi_6_category;spi_9;spi_9_category;spi_12;spi_12_category
01/02/2021;Mauritania;Amourj;Bougadoum;0,46;3.Normal conditions;-0,32;3.Normal conditions;1,07;2.Good condition;0,15;3.Normal conditions;0,88;Wet;0,9;Wet;-0,22;Dry;0,47;Wet;0,46;Wet
01/02/2021;Mauritania;Tichitt;Tichitt;-0,14;3.Normal conditions;-0,31;3.Normal conditions;0,05;3.Normal conditions;;;-0,82;Dry;-0,8;Dry;-0,1;Dry;0,47;Wet;0,47;Wet
01/02/2021;Mauritania;Méderdra;El Khat;0,16;3.Normal conditions;-0,31;3.Normal conditions;0,57;3.Normal conditions;0,15;3.Normal conditions;-0,19;Dry;0,78;Wet;0,57;Wet;0,76;Wet;0,76;Wet
01/02/2021;Senegal;Dagana;Ndiaye;-0,1;3.Normal conditions;-0,31;3.Normal conditions;0,13;3.Normal conditions;0,15;3.Normal conditions;-0,08;Dry;0,88;Wet;0,64;Wet;0,69;Wet;0,69;Wet
01/02/2021;Mauritania;Boutilimit;Ajweir;-0,53;3.Normal conditions;-0,29;3.Normal conditions;-0,6;3.Normal conditions;0,15;3.Normal conditions;0,12;Wet;0,72;Wet;0,96;Wet;0,35;Wet;0,35;Wet
01/02/2021;Mauritania;Nouadhibou;Tmeimichat;-0,43;3.Normal conditions;-0,29;3.Normal conditions;-0,32;3.Normal conditions;0,49;3.Normal conditions;-0,32;Dry;-0,38;Dry;1,87;Extremely wet;1,02;Moderately wet;1,02;Moderately wet
01/02/2021;Senegal;Bakel;Moudéry;-0,24;3.Normal conditions;-0,28;3.Normal conditions;0,16;3.Normal conditions;0,3;3.Normal conditions;0,78;Wet;0,45;Wet;1,23;Moderately wet;0,6;Wet;0,59;Wet
01/02/2021;Mauritania;R'Kiz;Boutalhaya;-0,66;3.Normal conditions;-0,28;3.Normal conditions;-0,95;3.Normal conditions;;;0,41;Wet;1,16;Moderately wet;1,17;Moderately wet;0,88;Wet;0,88;Wet
01/02/2021;Mauritania;Maghama;Maghama;-0,02;3.Normal conditions;-0,27;3.Normal conditions;0,39;3.Normal conditions;0,17;3.Normal conditions;-0,15;Dry;-0,38;Dry;1,75;Extremely wet;1,24;Moderately wet;1,24;Moderately wet
01/02/2021;Senegal;Podor;Saldé;-0,03;3.Normal conditions;-0,27;3.Normal conditions;0,24;3.Normal conditions;0,15;3.Normal conditions;-0,19;Dry;-0,34;Dry;2,54;Extremely wet;1,35;Moderately wet;1,35;Moderately wet
01/02/2021;Mauritania;Timbédra;Bousteile;0,79;3.Normal conditions;-0,27;3.Normal conditions;1,32;2.Good condition;0,15;3.Normal conditions;1;Wet;1,1;Moderately wet;0,13;Wet;1,45;Moderately wet;1,46;Moderately wet
01/02/2021;Senegal;Podor;Cas-Cas;0,22;3.Normal conditions;-0,26;3.Normal conditions;0,44;3.Normal conditions;0,16;3.Normal conditions;-0,39;Dry;-0,37;Dry;2,38;Extremely wet;0,91;Wet;0,92;Wet
01/02/2021;Mauritania;Tichitt;Tichitt 2;-0,06;3.Normal conditions;-0,26;3.Normal conditions;0,14;3.Normal conditions;;;-0,27;Dry;-0,27;Dry;0,82;Wet;0,11;Wet;0,12;Wet
01/02/2021;Mauritania;Keur-Macéne;N'Diago;0,01;3.Normal conditions;-0,26;3.Normal conditions;0,34;3.Normal conditions;0,15;3.Normal conditions;0,05;Wet;0,85;Wet;0,58;Wet;0,84;Wet;0,84;Wet
01/02/2021;Senegal;Diourbel;Ndoulo;-0,22;3.Normal conditions;-0,24;3.Normal conditions;-0,08;3.Normal conditions;0,2;3.Normal conditions;0,72;Wet;0,97;Wet;2,13;Extremely wet;1,53;Extremely wet;1,53;Extremely wet
01/02/2021;Mauritania;Nouadhibou;Inal;-0,06;3.Normal conditions;-0,23;3.Normal conditions;0,16;3.Normal conditions;;;-0,33;Dry;-0,61;Dry;1,19;Moderately wet;0,62;Wet;0,61;Wet
01/02/2021;Mauritania;Keur-Macéne;M'Balal;0,03;3.Normal conditions;-0,22;3.Normal conditions;0,43;3.Normal conditions;0,15;3.Normal conditions;-0,15;Dry;0,72;Wet;0,56;Wet;0,98;Wet;0,98;Wet
01/02/2021;Senegal;Foundiougne;Toubacouta;0,1;3.Normal conditions;-0,22;3.Normal conditions;0,23;3.Normal conditions;0,45;3.Normal conditions;0,45;Wet;1,08;Moderately wet;1,24;Moderately wet;1,18;Moderately wet;1,18;Moderately wet
01/02/2021;Mauritania;Chinguetti;Chinguity 3;-0,11;3.Normal conditions;-0,21;3.Normal conditions;0,1;3.Normal conditions;0,15;3.Normal conditions;0,07;Wet;-0,21;Dry;0,19;Wet;-0,44;Dry;-0,45;Dry
01/02/2021;Senegal;Koumpentoum;Bamba Thialène;-0,3;3.Normal conditions;-0,21;3.Normal conditions;-0,08;3.Normal conditions;0,35;3.Normal conditions;0,35;Wet;0,6;Wet;2,21;Extremely wet;1,6;Extremely wet;1,59;Extremely wet
01/02/2021;Mauritania;Kankossa;Tenaha;0,4;3.Normal conditions;-0,21;3.Normal conditions;1,07;2.Good condition;0,22;3.Normal conditions;0,24;Wet;0,05;Wet;2,93;Extremely wet;2,16;Extremely wet;2,17;Extremely wet
01/02/2021;Mauritania;Néma;Agoueinit;0,07;3.Normal conditions;-0,2;3.Normal conditions;0,31;3.Normal conditions;0,15;3.Normal conditions;0,4;Wet;0,62;Wet;-0,3;Dry;-0,1;Dry;-0,09;Dry
